,value,type,band
745,1842,Unmarked,B6
746,2494,Unmarked,B6
747,2469,Unmarked,B6
748,2186,Unmarked,B6
749,2147,Unmarked,B6
750,2331,Unmarked,B6
751,1996,Unmarked,B6
752,2146,Unmarked,B6
753,2286,Unmarked,B6
754,2358,Unmarked,B6
755,1318,Vegetation,B6
756,2017,Vegetation,B6
757,1469,Vegetation,B6
758,1485,Vegetation,B6
759,1522,Vegetation,B6
760,1351,Vegetation,B6
761,1490,Vegetation,B6
762,1501,Vegetation,B6
763,1795,Vegetation,B6
764,1846,Vegetation,B6
765,1727,Vegetation,B6
766,1734,Vegetation,B6
767,2040,Vegetation,B6
768,1038,Vegetation,B6
769,1481,Vegetation,B6
770,1643,Vegetation,B6
771,1741,Vegetation,B6
772,1999,Vegetation,B6
773,1682,Vegetation,B6
774,1589,Vegetation,B6
775,1494,Vegetation,B6
776,2013,Vegetation,B6
777,1920,Vegetation,B6
778,1656,Vegetation,B6
779,1950,Vegetation,B6
780,2002,Vegetation,B6
781,1313,Vegetation,B6
782,1251,Vegetation,B6
783,1940,Vegetation,B6
784,1604,Vegetation,B6
785,1649,Vegetation,B6
786,1430,Vegetation,B6
787,1541,Vegetation,B6
788,1781,Vegetation,B6
789,1809,Vegetation,B6
790,1375,Vegetation,B6
791,1647,Vegetation,B6
792,1846,Vegetation,B6
793,2073,Vegetation,B6
794,1730,Vegetation,B6
795,1728,Vegetation,B6
796,5743,Barren,B7
797,4183,Barren,B7
798,3954,Barren,B7
799,3767,Barren,B7
800,3824,Barren,B7
801,3622,Barren,B7
802,3791,Barren,B7
803,3990,Barren,B7
804,3447,Barren,B7
805,4084,Barren,B7
806,4044,Barren,B7
807,3928,Barren,B7
808,4185,Barren,B7
809,4266,Barren,B7
810,4527,Barren,B7
811,4394,Barren,B7
812,4359,Barren,B7
813,4099,Barren,B7
814,4370,Barren,B7
815,4200,Barren,B7
816,4629,Barren,B7
817,4157,Barren,B7
818,4002,Barren,B7
819,4245,Barren,B7
820,3979,Barren,B7
821,4279,Barren,B7
822,4494,Barren,B7
823,4611,Barren,B7
824,4129,Barren,B7
825,3170,Barren,B7
826,4199,Barren,B7
827,4149,Barren,B7
828,4446,Barren,B7
829,4049,Barren,B7
830,4514,Barren,B7
831,4141,Barren,B7
832,4381,Barren,B7
833,5303,Barren,B7
834,4188,Marked,B7
835,2632,Marked,B7
836,1934,Marked,B7
837,1854,Marked,B7
838,1674,Marked,B7
839,1619,Marked,B7
840,2393,Marked,B7
841,1557,Marked,B7
842,1401,Marked,B7
843,1892,Marked,B7
844,2092,Marked,B7
845,2078,Marked,B7
846,1760,Marked,B7
847,660,Marked,B7
848,1203,Marked,B7
849,2223,Marked,B7
850,1778,Marked,B7
851,1556,Marked,B7
852,2096,Marked,B7
853,1662,Marked,B7
854,1668,Marked,B7
855,1322,Marked,B7
856,1993,Marked,B7
857,1193,Marked,B7
858,1276,Marked,B7
859,1845,Unmarked,B7
860,1621,Unmarked,B7
861,1934,Unmarked,B7
862,2244,Unmarked,B7
863,2267,Unmarked,B7
864,2049,Unmarked,B7
865,2213,Unmarked,B7
866,2292,Unmarked,B7
867,2300,Unmarked,B7
868,1919,Unmarked,B7
869,2508,Unmarked,B7
870,2131,Unmarked,B7
871,1846,Unmarked,B7
872,2289,Unmarked,B7
873,2023,Unmarked,B7
874,1894,Unmarked,B7
875,2059,Unmarked,B7
876,1740,Unmarked,B7
877,1967,Unmarked,B7
878,2035,Unmarked,B7
879,2297,Unmarked,B7
880,2217,Unmarked,B7
881,1672,Unmarked,B7
882,1749,Unmarked,B7
883,2005,Unmarked,B7
884,2027,Unmarked,B7
885,2476,Unmarked,B7
886,2080,Unmarked,B7
887,2038,Unmarked,B7
888,2300,Unmarked,B7
889,1691,Unmarked,B7
890,2182,Unmarked,B7
891,1701,Unmarked,B7
892,2088,Unmarked,B7
893,2644,Unmarked,B7
894,1434,Unmarked,B7
895,2196,Unmarked,B7
896,2063,Unmarked,B7
897,2036,Unmarked,B7
898,2181,Unmarked,B7
899,2054,Unmarked,B7
900,2361,Unmarked,B7
901,1879,Unmarked,B7
902,1607,Unmarked,B7
903,2200,Unmarked,B7
904,1764,Unmarked,B7
905,2379,Unmarked,B7
906,2305,Unmarked,B7
907,2051,Unmarked,B7
908,2044,Unmarked,B7
909,2188,Unmarked,B7
910,1904,Unmarked,B7
911,1998,Unmarked,B7
912,2061,Unmarked,B7
913,2233,Unmarked,B7
914,1078,Vegetation,B7
915,956,Vegetation,B7
916,793,Vegetation,B7
917,755,Vegetation,B7
918,849,Vegetation,B7
919,872,Vegetation,B7
920,820,Vegetation,B7
921,838,Vegetation,B7
922,933,Vegetation,B7
923,948,Vegetation,B7
924,920,Vegetation,B7
925,1183,Vegetation,B7
926,1002,Vegetation,B7
927,656,Vegetation,B7
928,817,Vegetation,B7
929,860,Vegetation,B7
930,946,Vegetation,B7
931,972,Vegetation,B7
932,1007,Vegetation,B7
933,987,Vegetation,B7
934,1098,Vegetation,B7
935,1202,Vegetation,B7
936,1413,Vegetation,B7
937,1029,Vegetation,B7
938,1004,Vegetation,B7
939,973,Vegetation,B7
940,668,Vegetation,B7
941,644,Vegetation,B7
942,970,Vegetation,B7
943,774,Vegetation,B7
944,797,Vegetation,B7
945,736,Vegetation,B7
946,779,Vegetation,B7
947,952,Vegetation,B7
948,1053,Vegetation,B7
949,728,Vegetation,B7
950,833,Vegetation,B7
951,1024,Vegetation,B7
952,1068,Vegetation,B7
953,1024,Vegetation,B7
954,898,Vegetation,B7
